total,available,percent,used,free,active,inactive,buffers,cached,shared,slab,dataset,buffer_error,total_dataset
7206719488,1186840576,83.5,5760917504,245768192,2153435136,4526473216,8757248,1191276544,45056,137588736,225000,False,2015644
7206719488,1184387072,83.6,5763330048,241106944,2153435136,4530962432,8757248,1193525248,45056,137605120,226000,False,2015644
7206719488,1182928896,83.6,5764812800,237494272,2153439232,4535382016,8773632,1195638784,45056,137605120,227000,False,2015644
7206719488,1171005440,83.8,5776744448,223559680,2153930752,4543807488,8781824,1197633536,45056,137605120,228000,False,2015644
7206719488,1168834560,83.8,5778849792,219172864,2153988096,4549271552,8790016,1199906816,45056,137605120,229000,False,2015644
7206719488,1165307904,83.8,5782437888,213237760,2153992192,4555075584,8790016,1202253824,45056,137605120,230000,False,2015644
7206719488,1170079744,83.8,5777555456,216051712,2153779200,4559736832,8790016,1204322304,45056,137654272,231000,False,2015644
7206719488,1165193216,83.8,5782544384,209600512,2153947136,4563451904,8806400,1205768192,45056,137654272,232000,False,2015644
7206719488,1162510336,83.9,5785178112,204390400,2153951232,4568301568,8806400,1208344576,45056,137703424,233000,False,2015644
7206719488,1159434240,83.9,5788266496,198987776,2154004480,4572954624,8822784,1210642432,45056,137687040,234000,False,2015644
7206719488,1156964352,83.9,5790830592,194916352,2153816064,4579368960,8822784,1212149760,45056,137695232,235000,False,2015644
7206719488,1151066112,84.0,5796622336,186122240,2154164224,4584833024,8839168,1215135744,45056,137748480,236000,False,2015644
7206719488,1146548224,84.1,5800947712,178896896,2154168320,4589850624,8839168,1218035712,45056,137818112,237000,False,2015644
7206719488,1143394304,84.1,5804199936,173477888,2154356736,4594327552,8855552,1220186112,45056,137875456,238000,False,2015644
7206719488,1141846016,84.2,5805744128,169590784,2154373120,4598861824,8855552,1222529024,45056,137940992,239000,False,2015644
7206719488,1138720768,84.2,5808693248,164413440,2154725376,4603154432,8871936,1224740864,45056,138018816,240000,False,2015644
7206719488,1136111616,84.2,5811453952,159252480,2154745856,4608901120,8871936,1227141120,45056,138076160,241000,False,2015644
7206719488,1131311104,84.3,5816246272,152027136,2155016192,4614627328,8871936,1229574144,45056,138145792,242000,False,2015644
7206719488,1129365504,84.3,5818232832,147898368,2155020288,4619149312,8880128,1231708160,45056,138194944,243000,False,2015644
7206719488,1126645760,84.4,5820801024,143511552,2155020288,4622958592,8880128,1233526784,45056,138240000,244000,False,2015644
7206719488,1123590144,84.4,5823664128,138092544,2155507712,4627791872,8896512,1236066304,45056,138293248,245000,False,2015644
7206719488,1120714752,84.4,5826404352,133189632,2155507712,4631846912,8896512,1238228992,45056,138354688,246000,False,2015644
7206719488,1118703616,84.5,5828476928,129060864,2155552768,4635303936,8904704,1240276992,45056,138403840,247000,False,2015644
7206719488,1115783168,84.5,5830893568,124674048,2155593728,4638994432,8904704,1242247168,45056,138444800,248000,False,2015644
7206719488,1114841088,84.5,5832384512,120545280,2155618304,4644642816,8912896,1244876800,45056,138522624,249000,False,2015644
7206719488,1111248896,84.6,5837574144,133627904,2155622400,4632018944,8912896,1226604544,45056,134914048,250000,False,2015644
7206719488,1108975616,84.6,5839990784,129359872,2155630592,4636295168,8921088,1228447744,45056,134914048,251000,False,2015644
7206719488,1107046400,84.6,5841797120,125489152,2155630592,4640477184,8921088,1230512128,45056,134914048,252000,False,2015644
7206719488,1105096704,84.7,5843828736,121344000,2155630592,4644966400,8921088,1232625664,45056,134930432,253000,False,2015644
7206719488,1103335424,84.7,5845643264,117731328,2155646976,4648853504,8966144,1234378752,45056,134930432,254000,False,2015644
7206719488,1097797632,84.8,5851168768,142245888,2156154880,4621815808,8966144,1204338688,45056,134926336,255000,False,2015644
7206719488,1095745536,84.8,5853196288,138100736,2156167168,4625989632,8974336,1206448128,45056,134942720,256000,False,2015644
7206719488,1094295552,84.8,5854662656,134488064,2156175360,4630409216,8974336,1208594432,45056,134942720,257000,False,2015644
7206719488,1092300800,84.8,5856657408,130359296,2156204032,4634832896,8990720,1210712064,45056,134942720,258000,False,2015644
7206719488,1090674688,84.9,5858234368,126746624,2156204032,4639137792,8990720,1212747776,45056,134942720,259000,False,2015644
7206719488,1087766528,84.9,5861085184,121921536,2156449792,4643475456,9007104,1214705664,45056,135122944,260000,False,2015644
7206719488,1086140416,84.9,5862830080,117956608,2156466176,4648185856,9007104,1216925696,45056,134959104,261000,False,2015644
7206719488,1082458112,85.0,5866541056,136019968,2027098112,4758249472,9007104,1195151360,45056,134959104,262000,False,2015644
7206719488,1089953792,84.9,5858615296,141201408,2026930176,4762656768,9023488,1197879296,45056,135729152,263000,False,2015644
7206719488,1087938560,84.9,5860663296,137072640,2026930176,4767129600,9023488,1199960064,45056,135729152,264000,False,2015644
7206719488,1082986496,85.0,5865500672,130105344,2026958848,4770516992,9039872,1202073600,45056,135729152,265000,False,2015644
7206719488,1080377344,85.0,5868257280,125394944,2026962944,4774948864,9039872,1204027392,45056,135729152,266000,False,2015644
7206719488,1082531840,85.0,5866196992,125202432,2027024384,4779708416,9056256,1206263808,45056,135729152,267000,False,2015644
7206719488,1067462656,85.2,5881241600,131284992,1858236416,4931993600,8699904,1185492992,45056,134950912,268000,False,2015644
7206719488,1065701376,85.2,5882916864,126345216,1858875392,4937211904,8708096,1188749312,45056,135991296,269000,False,2015644
7206719488,1064017920,85.2,5884456960,122474496,1858887680,4941864960,8708096,1191079936,45056,135991296,270000,False,2015644
7206719488,1061404672,85.3,5887193088,117669888,1858981888,4946391040,8724480,1193132032,45056,135991296,271000,False,2015644
7206719488,1056440320,85.3,5892571136,134311936,1760018432,5026922496,8724480,1171111936,45056,134979584,272000,False,2015644
7206719488,1054224384,85.4,5894721536,129929216,1760022528,5031419904,8724480,1173344256,45056,134979584,273000,False,2015644
7206719488,1052291072,85.4,5896740864,125800448,1760055296,5035995136,8732672,1175445504,45056,134979584,274000,False,2015644
7206719488,1050816512,85.4,5898039296,122187776,1760165888,5040525312,8732672,1177759744,45056,134979584,275000,False,2015644
7206719488,1048506368,85.5,5900517376,117800960,1760210944,5044973568,8749056,1179652096,45056,134979584,276000,False,2015644
7206719488,1045794816,85.5,5903216640,129929216,1760227328,5032554496,8749056,1164824576,45056,134971392,277000,False,2015644
7206719488,1042616320,85.5,5906374656,124768256,1760239616,5036892160,8757248,1166819328,45056,134971392,278000,False,2015644
7206719488,1037348864,85.6,5911699456,117284864,1761402880,5045399552,8757248,1168977920,45056,134971392,279000,False,2015644
7206719488,1034444800,85.6,5914611712,146444288,1761419264,5015769088,8773632,1136889856,45056,134963200,280000,False,2015644
7206719488,1033019392,85.7,5916004352,142831616,1761435648,5020348416,8790016,1139093504,45056,134963200,281000,False,2015644
