total_data,buffer_clear_count,actual_docs_per_second,overall_time_taken,buffer_clear_time,transfer_time_taken,overall_docs_per_second,dataset_size_bytes
100,0,22.771298963700957,4.391493,0,4.391493,22.771298963700957,856
1000,0,273.621767158821,3.65468,0,3.65468,273.621767158821,8056
10000,0,308.2374992124532,32.442516,0,32.442516,308.2374992124532,80056
100000,0,322.2126450599717,310.354052,0,310.354052,322.2126450599717,800056
503911,1,1663.6121721418908,302.901727,1.090955,301.810772,1669.6256288692043,4031344
1007822,1,3323.442159200425,303.246439,1.060691,302.185748,3335.1076504110974,8062632
1511733,1,5084.134843971469,297.343215,1.075765,296.26745,5102.595644577223,12093920
2015644,1,6667.436468186616,302.311692,1.080089,301.231603,6691.343072658947,16125208
