total_data,buffer_clear_count,actual_docs_per_second,overall_time_taken,buffer_clear_time,transfer_time_taken,overall_docs_per_second,dataset_size
100,0,120.7948299812768,0.82785,0,0.82785,120.7948299812768,856
1000,0,1753.4077479581567,0.570318,0,0.570318,1753.4077479581567,8056
10000,0,29167.61461414163,0.342846,0,0.342846,29167.61461414163,80056
100000,0,21002.24387973611,4.761396,0,4.761396,21002.24387973611,800056
503911,5,17133.417721252143,29.411003,5.121408000000001,24.289595,20745.961387993502,4290008
1007822,10,17663.735113834486,57.055996,10.245458,46.810538,21529.810232046468,8062632
1511733,15,16957.174439369093,89.150053,15.355774,73.794279,20485.775055814287,12093920
2015644,20,17030.816486633114,118.352752,20.522559999999995,97.830192,20603.49631124101,16125208
