total_data,buffer_clear_count,actual_docs_per_second,overall_time_taken,buffer_clear_time,transfer_time_taken,overall_docs_per_second
100,0,44.55488114317132,2.244423,0,2.244423,44.55488114317132
1000,0,395.1149567210832,2.530909,0,2.530909,395.1149567210832
10000,0,3914.0934763804025,2.55487,0,2.55487,3914.0934763804025
100000,0,3888.959322263281,25.71382,0,25.71382,3888.959322263281
503911,5,2332.3987633863007,216.048391,5.442400000000001,210.60599100000002,2392.6717260384107
1007822,10,2937.6679898485995,343.068721,10.790840999999999,332.27788,3033.0697908629973
1511733,15,3833.0281358382435,394.396531,15.990473000000003,378.406058,3995.0021096121036
2015644,20,3677.747890068669,548.064756,21.266139,526.798617,3826.213537686641
