total,available,percent,used,free,active,inactive,buffers,cached,shared,slab,dataset,buffer_error,total_dataset
7206719488,1087315968,84.9,5847224320,127987712,2476945408,4241190912,4771840,1226735616,45056,167063552,885000,False,2015644
7206719488,1086636032,84.9,5847891968,124325888,2476945408,4244242432,4771840,1229729792,45056,167153664,886000,False,2015644
7206719488,1087356928,84.9,5846913024,122179584,2476945408,4247072768,4771840,1232855040,45056,167231488,887000,False,2015644
7206719488,1087545344,84.9,5846896640,119263232,2476945408,4250161152,4771840,1235787776,45056,167313408,888000,False,2015644
7206719488,1087520768,84.9,5846917120,116068352,2476974080,4253331456,4771840,1238962176,45056,167378944,889000,False,2015644
7206719488,1086189568,84.9,5848301568,135528448,2476974080,4232634368,4771840,1218117632,45056,167211008,890000,False,2015644
7206719488,1087307776,84.9,5847158784,133824512,2476974080,4235456512,4771840,1220964352,45056,167211008,891000,False,2015644
7206719488,1088430080,84.9,5846077440,131633152,2476974080,4238786560,4771840,1224237056,45056,167211008,892000,False,2015644
7206719488,1088880640,84.9,5845676032,128856064,2476974080,4241985536,4771840,1227415552,45056,167284736,893000,False,2015644
7206719488,1088286720,84.9,5846081536,125566976,2476974080,4244668416,4771840,1230299136,45056,167350272,894000,False,2015644
7206719488,1088167936,84.9,5846245376,122322944,2476974080,4247760896,4771840,1233379328,45056,167419904,895000,False,2015644
7206719488,1088376832,84.9,5846032384,119488512,2476982272,4250796032,4771840,1236426752,45056,167452672,896000,False,2015644
7206719488,1088548864,84.9,5845762048,116359168,2477035520,4254035968,4771840,1239826432,45056,167649280,897000,False,2015644
7206719488,1085911040,84.9,5848547328,134520832,2477035520,4233416704,4763648,1218887680,45056,167346176,898000,False,2015644
7206719488,1086844928,84.9,5847736320,132395008,2477035520,4236525568,4763648,1221824512,45056,167346176,899000,False,2015644
7206719488,1086590976,84.9,5847830528,129495040,2477035520,4239187968,4763648,1224630272,45056,167346176,900000,False,2015644
7206719488,1086332928,84.9,5848088576,129236992,2477035520,4239187968,4763648,1224630272,45056,167346176,900000,True,2015644
7206719488,1086087168,84.9,5847945216,125382656,2477125632,4242604032,4763648,1228627968,45056,168177664,901000,False,2015644
7206719488,1085726720,84.9,5848322048,122060800,2477125632,4245536768,4763648,1231572992,45056,168235008,902000,False,2015644
7206719488,1086316544,84.9,5847629824,119414784,2477125632,4248850432,4763648,1234911232,45056,168337408,903000,False,2015644
7206719488,1087156224,84.9,5846695936,117137408,2477125632,4251955200,4763648,1238122496,45056,168435712,904000,False,2015644
